id;description;picture_url;video_url;level;answer
1;mobile Fish;Home Loan Account Table Computer;Trace;EASY;E
2;red Chips Soap;Home Loan Account;web-readiness;MEDIUM;B
3;Licensed Savings Account;Cambridgeshire Mississippi;HDD;HARD;D
4;infomediaries;Investment Account;Games Regional Digitized;EASY;E
5;Views e-enable Communications;National Awesome sky blue;Tactics;MEDIUM;E
6;Small;deliverables reinvent 24 hour;overriding;HARD;E
7;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;HARD;C
8;partnerships Grocery Intelligent;Dynamic;knowledge base Buckinghamshire;EASY;C
9;Chilean Peso Unidades de fomento;Web virtual deposit;Squares mint green e-business;EASY;E
10;SQL Games;Iraq Bedfordshire;Concrete 24/7 Directives;MEDIUM;D
